T1,Removed1,Remaining1,T2,Removed2,Remaining2,T3,Removed3,Remaining3
0,0,100,0,0,100,0,0,100
1,14,86,1,11,89,1,15,85
2,20,66,2,22,67,2,12,73
3,11,55,3,10,57,3,18,55
4,11,44,4,13,44,4,13,42
5,8,36,5,11,33,5,7,35
6,6,30,6,4,29,6,1,34
7,7,23,7,6,23,7,7,27
8,8,15,8,6,17,8,3,24
9,4,11,9,6,11,9,4,20
10,2,9,10,2,9,10,6,14
11,1,8,11,1,8,11,0,14
12,2,6,12,1,7,12,3,11
13,1,5,13,1,6,13,0,11
14,0,5,14,1,5,14,1,10
15,0,5,15,1,4,15,1,9
16,2,3,16,0,4,16,1,8
17,1,2,17,0,4,17,0,8
18,0,2,18,0,4,18,1,7
19,0,2,19,2,2,19,0,7
20,1,1,20,0,2,20,1,6
21,0,1,21,1,1,21,2,4
22,0,1,22,1,0,22,1,3
23,0,1,,,,23,0,3
24,0,1,,,,24,0,3
25,0,1,,,,25,1,2
26,0,1,,,,26,1,1
27,0,1,,,,27,0,1
28,0,1,,,,28,0,1
29,0,1,,,,29,0,1
30,0,1,,,,30,1,0
31,0,1,,,,,,
32,0,1,,,,,,
33,0,1,,,,,,
34,1,0,,,,,,
