Hydrogen:Wavelength(nm),Noise:Absorbance,Hydrogen:Raw,Noise:Wavelength(nm),Hydrogen:Absorbance,Noise:Raw,Nitrogen:Wavelength(nm),Nitrogen:Absorbance,Nitrogen:Raw,Helium:Wavelength(nm),Helium:Absorbance,Helium:Raw,Mercury:Wavelength(nm),Mercury:Absorbance,Mercury:Raw,Neon:Wavelength(nm),Neon:Absorbance,Neon:Raw,CO2:Wavelength(nm),CO2:Absorbance,CO2:Raw,Data Set 8:Wavelength(nm),Data Set 8:Absorbance,Data Set 8:Raw
380.6,,1033.083333,380.6,,1002.041667,380.6,,1739.166667,380.6,,1032.383333,380.6,,1022.85,380.6,,1106.083333,380.6,,1051.683333,380.6,,1030.491667
381.4,,1051.138889,381.4,,1014.180556,381.4,,1768.611111,381.4,,1038.216667,381.4,,1017.6,381.4,,1088.805556,381.4,,1062.377778,381.4,,1026.075
382.3,,1047.472222,382.3,,1020.458333,382.3,,1825.388889,382.3,,1028.161111,382.3,,1018.6,382.3,,1064.805556,382.3,,1096.766667,382.3,,1040.408333
383.2,,1049.972222,383.2,,1021.569444,383.2,,1894.166667,383.2,,1026.938889,383.2,,1011.766667,383.2,,1054.916667,383.2,,1096.488889,383.2,,1030.686111
384,,1039.861111,384,,1031.958333,384,,1937.777778,384,,1027.105556,384,,1008.988889,384,,1046.972222,384,,1100.822222,384,,1044.019444
384.9,,1045.25,384.9,,1042.513889,384.9,,1976.777778,384.9,,1053.327778,384.9,,1011.266667,384.9,,1052.416667,384.9,,1112.044444,384.9,,1045.852778
385.7,,1030.583333,385.7,,1040.680556,385.7,,2020.388889,385.7,,1054.216667,385.7,,1018.822222,385.7,,1082.527778,385.7,,1105.988889,385.7,,1042.297222
386.6,,1011.361111,386.6,,1020.347222,386.6,,2065,386.6,,1046.772222,386.6,,1019.711111,386.6,,1103.75,386.6,,1106.044444,386.6,,1049.963889
387.4,,1019.083333,387.4,,1002.847222,387.4,,2096.944444,387.4,,1029.605556,387.4,,1021.933333,387.4,,1135.805556,387.4,,1072.155556,387.4,,1049.130556
388.3,,1016.861111,388.3,,1006.513889,388.3,,2159,388.3,,1032.772222,388.3,,1011.877778,388.3,,1140.361111,388.3,,1090.6,388.3,,1051.630556
389.2,,1056.027778,389.2,,1004.458333,389.2,,2214.722222,389.2,,1042.661111,389.2,,1027.1,389.2,,1144.25,389.2,,1086.322222,389.2,,1051.741667
390,,1076.638889,390,,1008.125,390,,2268.555556,390,,1043.05,390,,1032.488889,390,,1138.527778,390,,1110.488889,390,,1051.297222
390.9,,1075.194444,390.9,,1029.736111,390.9,,2283.611111,390.9,,1054.161111,390.9,,1043.877778,390.9,,1142.083333,390.9,,1091.933333,390.9,,1050.852778
391.7,,1076.805556,391.7,,1050.680556,391.7,,2315,391.7,,1043.161111,391.7,,1046.044444,391.7,,1150.305556,391.7,,1094.044444,391.7,,1064.575
392.6,,1047.972222,392.6,,1050.402778,392.6,,2365.166667,392.6,,1035.661111,392.6,,1038.433333,392.6,,1133.861111,392.6,,1086.877778,392.6,,1089.241667
393.4,,1076.416667,393.4,,1025.625,393.4,,2429.222222,393.4,,1035.494444,393.4,,1024.488889,393.4,,1138.416667,393.4,,1099.322222,393.4,,1104.463889
394.3,,1042.972222,394.3,,1032.958333,394.3,,2466.944444,394.3,,1036.55,394.3,,1008.322222,394.3,,1148.583333,394.3,,1133.544444,394.3,,1088.463889
395.2,,1078.25,395.2,,1035.125,395.2,,2483.944444,395.2,,1047.938889,395.2,,1006.211111,395.2,,1160.305556,395.2,,1168.766667,395.2,,1088.463889
396,,1089.027778,396,,1037.902778,396,,2488,396,,1050.883333,396,,1008.155556,396,,1150.805556,396,,1189.877778,396,,1107.019444
396.9,,1094.694444,396.9,,1021.291667,396.9,,2486.333333,396.9,,1061.383333,396.9,,1010.1,396.9,,1161.138889,396.9,,1204.377778,396.9,,1123.963889
397.7,,1071.583333,397.7,,1021.902778,397.7,,2505.5,397.7,,1045.55,397.7,,1006.1,397.7,,1162.083333,397.7,,1172.988889,397.7,,1113.408333
398.6,,1037.361111,398.6,,1038.402778,398.6,,2522.944444,398.6,,1030.827778,398.6,,1003.1,398.6,,1139.694444,398.6,,1174.6,398.6,,1139.297222
399.4,,1038.027778,399.4,,1021.625,399.4,,2543.277778,399.4,,1019.383333,399.4,,1006.822222,399.4,,1117.75,399.4,,1147.988889,399.4,,1129.241667
400.3,,1033.583333,400.3,,1019.180556,400.3,,2529.833333,400.3,,1028.55,400.3,,1013.655556,400.3,,1145.638889,400.3,,1164.711111,400.3,,1130.852778
401.2,,1056.527778,401.2,,994.125,401.2,,2538.388889,401.2,,1025.772222,401.2,,1014.044444,401.2,,1155.916667,401.2,,1165.766667,401.2,,1124.352778
402,,1064.361111,402,,1016.902778,402,,2524.611111,402,,1034.827778,402,,1015.211111,402,,1194.527778,402,,1172.711111,402,,1164.463889
402.9,,1060.916667,402.9,,1016.680556,402.9,,2493.944444,402.9,,1029.327778,402.9,,1021.822222,402.9,,1167.305556,402.9,,1149.433333,402.9,,1176.741667
403.7,,1041.861111,403.7,,1034.958333,403.7,,2439.888889,403.7,,1043.05,403.7,,1024.933333,403.7,,1186.361111,403.7,,1147.544444,403.7,,1137.463889
404.6,,1040.083333,404.6,,1038.236111,404.6,,2415.944444,404.6,,1031.105556,404.6,,1028.877778,404.6,,1159.194444,404.6,,1139.1,404.6,,1119.797222
405.4,,1046.972222,405.4,,1045.013889,405.4,,2403.166667,405.4,,1048.216667,405.4,,1021.1,405.4,,1145.027778,405.4,,1181.1,405.4,,1134.797222
406.3,,1064.194444,406.3,,1029.402778,406.3,,2397.388889,406.3,,1041.438889,406.3,,1018.433333,406.3,,1141.027778,406.3,,1194.266667,406.3,,1185.908333
407.2,,1073.305556,407.2,,1010.958333,407.2,,2407.055556,407.2,,1052.994444,407.2,,1007.488889,407.2,,1142.861111,407.2,,1213.933333,407.2,,1204.575
408,,1058.194444,408,,1001.069444,408,,2408.611111,408,,1041.605556,408,,995.9333333,408,,1153.638889,408,,1219.544444,408,,1218.797222
408.9,,1060.75,408.9,,1005.902778,408.9,,2398.111111,408.9,,1043.05,408.9,,1010.766667,408.9,,1175.861111,408.9,,1208.155556,408.9,,1214.352778
409.7,,1057.361111,409.7,,1005.458333,409.7,,2358.5,409.7,,1028.55,409.7,,1015.766667,409.7,,1178.027778,409.7,,1196.155556,409.7,,1199.741667
410.6,,1073.694444,410.6,,1029.680556,410.6,,2340.166667,410.6,,1041.216667,410.6,,1025.6,410.6,,1217.027778,410.6,,1176.544444,410.6,,1208.686111
411.4,,1055.472222,411.4,,1027.847222,411.4,,2307.666667,411.4,,1057.605556,411.4,,1013.433333,411.4,,1203.472222,411.4,,1189.377778,411.4,,1224.908333
412.3,,1061.472222,412.3,,1037.013889,412.3,,2307.777778,412.3,,1068.772222,412.3,,1012.377778,412.3,,1218.861111,412.3,,1210.988889,412.3,,1237.741667
413.1,,1097.972222,413.1,,1015.625,413.1,,2288.5,413.1,,1054.383333,413.1,,1012.6,413.1,,1220.861111,413.1,,1226.822222,413.1,,1229.797222
414,,1106.361111,414,,1020.958333,414,,2261.111111,414,,1024.661111,414,,1021.933333,414,,1219.138889,414,,1218.211111,414,,1229.297222
414.9,,1141.027778,414.9,,1011.958333,414.9,,2222.277778,414.9,,1023.494444,414.9,,1017.433333,414.9,,1203.361111,414.9,,1180.711111,414.9,,1225.463889
415.7,,1131.472222,415.7,,1010.625,415.7,,2209,415.7,,1042.327778,415.7,,1027.766667,415.7,,1192.805556,415.7,,1157.1,415.7,,1239.908333
416.6,,1159.138889,416.6,,1028.902778,416.6,,2206.444444,416.6,,1056.272222,416.6,,1018.488889,416.6,,1183.527778,416.6,,1170.211111,416.6,,1252.463889
417.4,,1149.472222,417.4,,1030.958333,417.4,,2197.277778,417.4,,1056.883333,417.4,,1017.266667,417.4,,1185.527778,417.4,,1197.377778,417.4,,1263.186111
418.3,,1154.25,418.3,,1025.902778,418.3,,2176.888889,418.3,,1040.383333,418.3,,1008.044444,418.3,,1181.638889,418.3,,1226.433333,418.3,,1262.741667
419.1,,1150.861111,419.1,,1007.736111,419.1,,2145.166667,419.1,,1033.772222,419.1,,1032.877778,419.1,,1197.972222,419.1,,1196.488889,419.1,,1257.463889
420,,1161.25,420,,1001.347222,420,,2098.555556,420,,1036.383333,420,,1036.155556,420,,1224.472222,420,,1221.155556,420,,1276.186111
420.9,,1182.583333,420.9,,1009.236111,420.9,,2060.333333,420.9,,1035.938889,420.9,,1034.933333,420.9,,1231.583333,420.9,,1219.322222,420.9,,1263.519444
421.7,,1201.694444,421.7,,1007.291667,421.7,,2020.944444,421.7,,1055.105556,421.7,,1010.6,421.7,,1228.861111,421.7,,1251.822222,421.7,,1259.741667
422.6,,1187.583333,422.6,,1007.902778,422.6,,2009.444444,422.6,,1043.161111,422.6,,1033.044444,422.6,,1221.305556,422.6,,1227.933333,422.6,,1249.575
423.4,,1198.25,423.4,,1015.347222,423.4,,1981.388889,423.4,,1030.05,423.4,,1054.155556,423.4,,1219.138889,423.4,,1221.655556,423.4,,1257.130556
424.3,,1183.638889,424.3,,1018.736111,424.3,,1971.277778,424.3,,1032.827778,424.3,,1066.044444,424.3,,1229.194444,424.3,,1233.822222,424.3,,1261.408333
425.1,,1173.638889,425.1,,1025.847222,425.1,,1936.611111,425.1,,1032.55,425.1,,1044.488889,425.1,,1219.527778,425.1,,1222.322222,425.1,,1256.463889
426,,1145.361111,426,,1029.180556,426,,1903.444444,426,,1036.438889,426,,1022.6,426,,1194.138889,426,,1238.544444,426,,1258.463889
426.9,,1141.027778,426.9,,1024.291667,426.9,,1861.833333,426.9,,1013.105556,426.9,,1012.766667,426.9,,1192.305556,426.9,,1232.044444,426.9,,1257.186111
427.7,,1145.25,427.7,,1016.069444,427.7,,1818.611111,427.7,,1029.327778,427.7,,1010.655556,427.7,,1181.25,427.7,,1243.211111,427.7,,1248.352778
428.6,,1161.916667,428.6,,1011.791667,428.6,,1784.888889,428.6,,1047.994444,428.6,,1026.6,428.6,,1200.027778,428.6,,1229.377778,428.6,,1237.408333
429.4,,1170.694444,429.4,,1008.569444,429.4,,1769.222222,429.4,,1073.994444,429.4,,1049.044444,429.4,,1175.805556,429.4,,1230.766667,429.4,,1242.186111
430.3,,1190.027778,430.3,,1013.625,430.3,,1761.166667,430.3,,1060.55,430.3,,1060.266667,430.3,,1178.305556,430.3,,1245.544444,430.3,,1254.075
431.1,,1170.75,431.1,,1002.625,431.1,,1730.722222,431.1,,1053.216667,431.1,,1047.488889,431.1,,1179.527778,431.1,,1256.766667,431.1,,1249.797222
432,,1151.583333,432,,1003.569444,432,,1702.722222,432,,1028.827778,432,,1021.155556,432,,1194.472222,432,,1254.655556,432,,1205.630556
432.9,,1131.972222,432.9,,997.3472222,432.9,,1688.333333,432.9,,1055.716667,432.9,,1015.655556,432.9,,1217.916667,432.9,,1253.988889,432.9,,1202.630556
